name,ジャンル,その他ジャンル,都道府県,住所,建物名フロア数,電話番号,最寄り駅,Googleマップ,ウェブサイト,イートイン,テイクアウト,デリバリー,通販,クラファン・チケット,オンライン料理教室,期限付酒類小売業免許,Twitter,Facebook,Instagram,公式LINE,混雑状況アプリ,位置情報(緯度経度),定休日,営業時間,イートインメニュー,非接触決済,クレジットカード,個室,室内の完全禁煙,バリアフリー,席数,営業時間(テイクアウト),テイクアウトメニュー,事前注文URL,サービス名,サービスのURL,サービス名２,サービスのURL２,詳細,出前のURL,通販サイト,通販サイト2,通販メニュー,サイト名,タイトル,サービスURL,終了日,サイト名,料理教室の内容,オンラインのURL,提供元
薔薇絵亭,創作料理・無国籍料理,,茨城県,茨城県つくば市天久保2丁目7-22,,0298524568,つくば駅,https://goo.gl/maps/xpc9nYoHme3L3eZ46,,〇,〇,,✖,✖,,,,,,,,"36.098512, 140.10749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豊しん,魚介・海鮮料理,,茨城県,茨城県つくば市天久保2丁目2-4,,0298526639,つくば駅,https://goo.gl/maps/zrLcfZESdSogngMx6,,true,true,,false,false,,,https://twitter.com/toyoshin1010,https://www.facebook.com/%E6%B5%B7%E9%AE%AE%E5%B1%85%E9%85%92%E5%B1%8B-%E8%B1%8A%E3%81%97%E3%82%93-913535018667760/,,,,"36.094965, 140.107045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE-cafe&dining-（ターブル）,カフェレストラン,,茨城県,茨城県つくば市千現2丁目1-6,,0298558088,つくば駅,https://goo.gl/maps/r5hXNQ4xRwwnMRSX6,https://www.tsukuba-tci.co.jp/conferenceroom/restaurant-2,〇,〇,,✖,✖,,,,,,,,"36.064052, 140.125953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
筑波ハム,洋食,,茨城県,茨城県つくば市下平塚383,,0298561953,研究学園駅,https://goo.gl/maps/uT2ciyxQkEaZxT3Q8,http://www.tsukubaham.co.jp/,true,true,,false,false,,,,,,,,"36.09156, 140.089991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高麗（つくば）,韓国料理,,茨城県,茨城県つくば市春日4丁目21-4,,0298562888,つくば駅,https://g.page/tukuba_?share,http://gourmet.tsukuba.ch/e3779.html,〇,〇,true,✖,✖,,,,,,,,"36.100598, 140.098276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とんとこ豚,とんかつ,,茨城県,茨城県つくば市天久保2丁目18-4,,0298566515,つくば駅,https://g.page/ramengouya?share,,true,true,,false,✖,,,https://twitter.com/amakubotontoko,,,,,"36.095448, 140.111839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吾妻庵,そば・うどん,,茨城県,茨城県つくば市花室１６０９−１,,0298571251,,https://goo.gl/maps/ZFbD5EUYku8xpjoH8,,〇,✖,,✖,〇,,,,,,,,"36.0906329,140.137879",,,,,,,,,,,,,,,,,,,,,,CAMPFIRE,新型コロナウイルスに負けない！つくばの飲食店応援プロジェクト,https://camp-fire.jp/projects/view/267922,2020/06/19,,,,
夢屋,定食・食堂,,茨城県,茨城県つくば市春日4丁目4-5,,0298580668,つくば駅,https://goo.gl/maps/t2hjg1DvPsALU6Ch9,,true,true,,false,✖,,,,,http://instagram.com/yumeya_tsukuba,,,"36.096859, 140.097774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAFÉ Clematis,カフェレストラン,,茨城県,茨城県つくば市春日4丁目5-7クラモチ春日マンション107ー1号,,0298581121,つくば駅,https://goo.gl/maps/3DXmJeS81VmfBGDb9,,〇,〇,,✖,✖,,true,https://twitter.com/clematis1122,,,,,"36.096559, 140.096593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とんかつ純平,とんかつ,,茨城県,茨城県つくば市天久保1丁目1０-4,,0298582520,つくば駅,https://goo.gl/maps/sCuHTeuaekuCQw6j9,,true,true,,false,false,,,,,,,,"36.094357, 140.107492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本場大阪 一太郎,お好み焼き・もんじゃ焼き,,茨城県,茨城県つくば市天久保2丁目6-1,,0298582610,つくば駅,https://goo.gl/maps/7yiYKFGDcquJfXei7,,true,true,,false,false,,,https://twitter.com/ichitarookonomiyaki,,,,,"36.098109, 140.106117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なごみ処きりん,居酒屋・ダイニングバー,,茨城県,茨城県つくば市天久保2丁目2-4,,0298583900,つくば駅,https://goo.gl/maps/GBquFuXgEArheiwb9,,〇,〇,,✖,✖,,,https://twitter.com/kirinrininn,,,,,"36.094965, 140.107045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サロン・デ・サン,カフェレストラン,,茨城県,茨城県つくば市天久保2丁目20-7レガートホソダ,,0298587886,つくば駅,https://goo.gl/maps/uJAMpQ7brrCiLR5A8,,true,true,,false,false,,,,,,,,"36.097573, 140.112628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
煮込み食堂まるしば,和食,,茨城県,茨城県つくば市下広岡1040-6,,0298590048,つくば駅,https://goo.gl/maps/NXy885UPJh9Q5T2H8,,true,true,,false,true,,,https://twitter.com/ODdN2qmkw8aFAm4,,,,,"36.059542, 140.151221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ごう家,ラーメン・つけ麺,,茨城県,茨城県つくば市天久保2丁目15-7,,0298595151,つくば駅,https://goo.gl/maps/w4jVL72s5TobqGsP9,,true,true,,false,false,,,https://twitter.com/ramengouya,,,,,"36.097515, 140.110323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アペティート,イタリアン,,茨城県,茨城県つくば市松代１丁目３−６,,0298595757,,https://goo.gl/maps/JTAh2K2VG88ENWnp7,,true,true,,false,false,,,,,,,,"36.0722462,140.0926205",,,,,,,,,,,,,,,,,,,,,,CAMPFIRE,新型コロナウイルスに負けない！つくばの飲食店応援プロジェクト,https://camp-fire.jp/projects/view/267922,2020/06/19,,,,
リネア,イタリアン,,茨城県,茨城県つくば市二の宮3丁目27-2,,0298598066,つくば駅,https://goo.gl/maps/q6uNpt8ythPe2Ffu9,http://www.linea-tsukuba.com/,true,true,,false,false,,,,,,,,"36.062136, 140.115637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ニューミラ,アジア・エスニック,,茨城県,茨城県つくば市天久保2丁目16-10,,0298602391,つくば駅,https://goo.gl/maps/G2zBudczYFYgXb8W9,,true,true,,false,✖,,true,,,,,,"36.098948, 140.110656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わだ家 つくば店,和食,,茨城県,茨城県つくば市研究学園5丁目8-4,,0298631567,研究学園駅,https://goo.gl/maps/h3UZyTbbFAyZTw979,http://www.wada-ya.com/tsukuba/,true,〇,,false,false,,,https://twitter.com/wadaya_tsukuba,,,,,"36.082427, 140.081455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafe&beer GOATEE 029倉庫(ゴーティー),カフェレストラン,,茨城県,茨城県つくば市栄313,,0298695216,つくば駅,https://goo.gl/maps/d1r41oxCCsgy1KGV9,,〇,〇,true,✖,✖,,,,,,,,"36.105083, 140.138859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
